pr_number,repo,created_at,merged_at,additions,deletions,changed_files_count,commits_count
1302,accumulo,2019-07-31T19:34:39Z,2019-08-02T15:59:29Z,235,348,15,4
1304,accumulo,2019-08-01T18:52:50Z,2019-08-01T20:56:42Z,89,91,5,2
1313,accumulo,2019-08-07T19:28:01Z,2019-08-14T19:18:04Z,555,521,20,3
1322,accumulo,2019-08-12T11:23:00Z,2019-08-13T20:01:03Z,112,109,5,1
1329,accumulo,2019-08-18T05:49:47Z,2019-08-27T22:28:29Z,404,255,16,4
1332,accumulo,2019-08-23T17:27:48Z,2019-08-30T14:47:39Z,1,1,1,1
1343,accumulo,2019-08-29T18:58:58Z,2019-08-30T14:56:32Z,20,26,1,1
1346,accumulo,2019-09-04T20:56:23Z,2019-09-04T22:44:04Z,14,30,1,2
1353,accumulo,2019-09-06T23:41:03Z,2019-09-07T00:23:34Z,3,2,1,1
1354,accumulo,2019-09-11T01:59:01Z,2019-09-11T14:31:42Z,9,8,1,1
1356,accumulo,2019-09-11T16:18:03Z,2019-09-11T17:08:28Z,19,17,2,1
1357,accumulo,2019-09-11T22:44:07Z,2019-09-12T20:48:54Z,27,31,1,3
1366,accumulo,2019-09-18T20:09:44Z,2019-09-27T14:56:18Z,363,19,7,4
1367,accumulo,2019-09-18T22:01:55Z,2019-10-10T18:55:15Z,97,20,7,5
1380,accumulo,2019-10-02T16:25:39Z,2019-10-02T20:06:58Z,4,0,1,1
1381,accumulo,2019-10-03T19:52:49Z,2019-10-08T18:58:45Z,961,10,11,3
1400,accumulo,2019-10-29T19:52:11Z,2019-11-01T20:35:53Z,5,33,20,1
1402,accumulo,2019-10-30T18:12:47Z,2019-10-30T19:48:04Z,2,0,1,1
1404,accumulo,2019-10-31T18:15:34Z,2019-10-31T20:36:02Z,15,1,1,4
1405,accumulo,2019-10-31T18:24:05Z,2019-11-14T18:58:07Z,127,30,5,2
1410,accumulo,2019-11-05T21:41:56Z,2019-11-07T01:44:18Z,57,3,4,2
1424,accumulo,2019-11-13T00:07:19Z,2019-11-13T18:26:41Z,7,27,1,2
1426,accumulo,2019-11-13T18:37:36Z,2020-01-24T14:54:38Z,247,107,13,11
